Source,Group,Title,Detected_Narratives
IRNA,State,Pezeshkian: Iran will not let foreign pressures derail nation’s progress,General News
IRNA,State,Iran offers support services to commercial ships in Strait of Hormuz,General News
IRNA,State,Iran protests Austria’s hasty position over alleged attack on UAE,General News
IRNA,State,Ghalibaf dismisses fake news by Axios on Iran-US talks,General News
IRNA,State,Ghalibaf outlines five requests for the nation as Iran enters ‘new phase’ of war,General News
IRNA,State,"Iran’s regional approach cooperative, not exclusive: VP Aref",General News
IRNA,State,"Pezeshkian: US pressure has derailed diplomacy, guarantees needed to prevent hostile actions",General News
IRNA,State,End of war only solution to Strait of Hormuz crisis: Iran’s UN mission,General News
IRNA,State,"Iran, Pakistan FMs hold talks over phone",General News
IRNA,State,Iran embassy in Seoul rejects claim of attack on South Korean ship,General News
IRNA,State,Aiding enemy by undermining national unity will face legal action: Judiciary chief,Execution/Hanged
IRNA,State,"Iran, Pakistan discuss strengthening rail cooperation, regional trade links",General News
IRNA,State,IranAraghchi says China agrees post-war Iran has enhanced international standing,General News
IRNA,State,"IranIran, Pakistan FMs hold talks over phone",General News
IRNA,State,IranAiding enemy by undermining national unity will face legal action: Judiciary chief,Execution/Hanged
IRNA,State,IranEnd of war only solution to Strait of Hormuz crisis: Iran’s UN mission,General News
IRNA,State,"Coach to FIFA: Iran determined to make history, reach knockout stage for first time",General News
IRNA,State,Symbolic polo match held in Isfahan,General News
IRNA,State,In photos: Tehranis gather in support of Islamic Republic,General News
IRNA,State,In photos: Iran national volleyball team training session,General News
IRNA,State,In photos: Walking along Lotfali Khan Zand Street in Shiraz,General News
IRNA,State,In photos: Red murals transform war-damaged Tehran schools,General News
IRNA,State,In photos: Honoring Iran’s top national workers,General News
IRNA,State,Iran urges Persian Gulf states to stop relying on external powers for security,Security/IRGC
IRNA,State,Regional ports replace UAE in Iran trade shifts amid war,General News
IRNA,State,Ball in Washington’s court as US reviews Iran’s proposal to end war,General News
IRNA,State,"Larijani was a highly trusted person in Russia, says Duma’s former deputy head",General News
IRNA,State,"Hundreds of educational, health facilities bombed during US-Israel war on Iran",General News
IRNA,State,Pakistanis send message of solidarity to Iranian people,General News
IRNA,State,Iranian’ message to Trump: We stand by our leader,General News
IRNA,State,“Referendum”: Martyr Khamenei’s Lesser-Known Democratic Solution for the Question of Palestine,General News
IRNA,State,Turkish activists form ‘human chain’ at Tabriz Thermal Power Plant,General News
IRNA,State,2k red butterflies adorn ruins of bombed Minab school,General News
IRNA,State,FIFA regrets Canada blocking Iran federation president from attending congress,General News
IRNA,State,Iran’s beach volleyball team secures silver at Asian Beach Games,General News
IRNA,State,President commends national wrestling teams’ Asian Championship titles,General News
IRNA,State,Aref hails Iran’s title in Asian Freestyle Wrestling Championship,General News
IRNA,State,Iran’s national Kabaddi team defeats Bangladesh 2026 Asian Beach Games,General News
IRNA,State,Iran water polo team open strong with win at Sanya 2026 games,General News
IRNA,State,Iran national football team to compete as ‘Minab 168’ at World Cup,General News
IRNA,State,Iran’s national beach water polo team crowns  Asian Beach Games champion,General News
IRNA,State,"Bayern Munich vs. PSG: Team news, injuries, lineups & how to watch Champions League",General News
IRNA,State,"Berri calls on UNESCO to fulfill its duties regarding Israeli crimes against ancient, cultural sites",General News
IRNA,State,Iran’s resistance left aggressors diplomatically isolated: Russian think tank chief,General News
IRNA,State,Hamas: Torture of Palestinian women in Damon prison a ‘war crime’,General News
IRNA,State,Enemy cannot achieve its goals as long as resistance stands: Lebanon’s Hezbollah,General News
IRNA,State,"Lebanese MP says resistance the only ‘national, irreplaceable option’",General News
IRNA,State,"Man Utd vs. Liverpool: Team news, injury updates and how to watch",General News
IRNA,State,262 journalists killed in Israeli war: Gaza Media Office,General News
IRNA,State,UN special envoy warns against ‘Israelization’ of Europe,General News
IRNA,State,"US lost war against Iran, will make concessions to Iranians: American professor",General News
IRNA,State,Araghchi: Trump’s ‘Project Freedom’ is Project Deadlock,Freedom/Rights
IRNA,State,Baqaei: Iran is a superpower too,General News
IRNA,State,Persian Gulf emerges as a symbol of national unity in Iran,General News
IRNA,State,Exclusive | Iran submits new proposal to Pakistani mediator,General News
IRNA,State,"Exclusive | FM Araghchi to visit Islamabad, Muscat, Moscow",General News
IRNA,State,Yemeni Ansarullah warns enemy against escalating tensions,General News
IRNA,State,Iraqi cleric hails Ayatollah Khamenei’s statement as decisive to future of West Asia,General News
IRNA,State,Tech companies’ services to US–Israeli killing machine,General News
IRNA,State,Somalia closes Bab al-Mandab Strait to Israeli shipping,General News
IRNA,State,Araghchi briefs regional counterparts on Iran’s stance to end war,General News
IRNA,State,Iran says will act based on national interests after Pakistan’s call to extend ceasefire,General News
PRESSTV,State,"POLITICS

Pezeshkian praises Leader's humility, sincerity in first meeting",General News
PRESSTV,State,Iran will soon hold 'great victory' celebration over enemies: Aref,General News
PRESSTV,State,Growing public anger in US toward Trump's war on Iran: New poll,General News
PRESSTV,State,"Defense official: To escape ‘quagmire’, US must recognize Iran’s rights",Freedom/Rights
PRESSTV,State,"POLITICS

‘Iran fought a heroic battle’: US disaster in Strait of Hormuz detailed",General News
PRESSTV,State,"BAHRAIN UPRISING

Bahrain expels three MPs for criticizing monarchy's security policies","Uprising/Protest, Security/IRGC"
PRESSTV,State,"POLITICS

Iran ready for diplomacy to end war, but will uphold national rights, Pezeshkian tells Macron",Freedom/Rights
PRESSTV,State,"IRGC says it will allow ‘safe, stable’ transit via Hormuz ‘with aggressor threats neutralized’",Security/IRGC
PRESSTV,State,Fables and failures: Why enemy's war of narratives – like its bombs – won't deter Iran,General News
PRESSTV,State,Explainer: How Iran’s tiny speedboats turned Strait of Hormuz into US Navy no-go zone,General News
PRESSTV,State,"CONVERSATIONS

Trump's war on Iran a 'catastrophe' with zero gains, made Tehran 'very strong’: Ex-US jurist",General News
PRESSTV,State,"CONVERSATIONS

Strait of Hormuz disruption to have major economic and geopolitical consequences: Economist",Riot/Unrest
PRESSTV,State,"CONVERSATIONS

India not playing a balancing act in war on Iran, has sided with Israel and UAE: Journalist",General News
PRESSTV,State,"CONVERSATIONS

Trump eager for off-ramp in war on Iran, but Netanyahu has him trapped: Former US official",General News
PRESSTV,State,"CONVERSATIONS

Persian Gulf states hosting US bases true losers in US-Israeli war against Iran: Ex- diplomat",General News
PRESSTV,State,"POLITICS

Downing St. stabbing: How Zionist-aligned Pahlavi monarchists are terrorizing Iranians in UK",General News
PRESSTV,State,"DEFENSE

Algorithm of war: How Palantir became Pentagon's indispensable AI arsenal in wars abroad",General News
PRESSTV,State,"DEFENSE

How Israel moved Hermes 900 drone production to Serbia to hide from Iranian missiles",General News
PRESSTV,State,"DEFENSE

How Iran's air defenses destroyed over 170 US-Israeli drones – and rewrote drone warfare doctrine",General News
PRESSTV,State,"DEFENSE

Geography, energy, asymmetric power: Strait of Hormuz as Iran's permanent strategic asset",General News
PRESSTV,State,Israel disables missile-tracking systems over Iranian infiltration fears14min,General News
PRESSTV,State,Growing public anger in US toward Trump's war on Iran: New poll1hr,General News
PRESSTV,State,‘Iran fought a heroic battle’: US disaster in Strait of Hormuz detailed 1hr,General News
PRESSTV,State,Iran will soon hold 'great victory' celebration over enemies: Aref2hr,General News
PRESSTV,State,Hamas slams killing of Hayya's son in ‘cowardly attack' by Israel on Gaza3hr,General News
PRESSTV,State,Italian scholars warn world of US-Israeli cultural genocide in Iran 4hr,Security/IRGC
PRESSTV,State,Bahrain expels three MPs for criticizing monarchy's security policies5hr,Security/IRGC
PRESSTV,State,Iran develops next-generation nanotech bone graft for faster bone regeneration6hr,General News
PRESSTV,State,Fables and failures: Why enemy's war of narratives – like its bombs – won't deter Iran6hr,General News
PRESSTV,State,"Pezeshkian praises Leader's humility, sincerity in first meeting6hr",General News
PRESSTV,State,"VIDEO | 
 India rupee, bonds set to lean to oil prices as US-Iran impasse prolong8hr",General News
PRESSTV,State,"VIDEO | 
Islamabad ceremony condemns war on Iran, honors martyrs8hr",General News
PRESSTV,State,"VIDEO | 
Tunisia’s energy deals and European influence8hr",General News
PRESSTV,State,"VIDEO | 
The forgotten Rafah: Two years on 8hr",General News
PRESSTV,State,"VIDEO | 
Suffocating Gaza: US blacklists more humanitarian organizations8hr",General News
PRESSTV,State,"May 6: Iran consolidates diplomatic, military leverage as Trump pulls plug on 'Project Freedom'",Freedom/Rights
PRESSTV,State,"British journalist faces ‘anti-terror probe’ after Iran visit, reporting on US-Israeli crimes",General News
PRESSTV,State,May 5: Iran activates new Strait of Hormuz transit system as US blockade ends in failure,Security/IRGC
PRESSTV,State,Israel threatens Gaza flotilla activists with death after abduction,General News
PRESSTV,State,"May 4: Iran repels US push at Strait of Hormuz, hits warships after they ignore warnings",General News
PRESSTV,State,"SCI-TECH

Iran develops next-generation nanotech bone graft for faster bone regeneration",General News
PRESSTV,State,"ECONOMY

Qolqoleh: The orogenic gold mine transforming western Iran's rich mining landscape",General News
PRESSTV,State,"IRAN FIRST

In a rare feat, 92-year-old woman in Iran had gallbladder removed without anesthesia",General News
PRESSTV,State,Engineering marvel: US-Israel bombed 6 bridges – Iranian engineers rebuilt them in 96 hours,General News
PRESSTV,State,Iran's power plant achieves milestone in domestic production of equipment,General News
PRESSTV,State,BotDetect CAPTCHA ASP.NET Form Validation,General News
PRESSTV,State,"POLITICS

Iran will soon hold 'great victory' celebration over enemies: Aref",General News
PRESSTV,State,"POLITICS

Iran begins reconstruction of B1 Bridge damaged in US-Israeli aggression",General News
PRESSTV,State,"ECONOMY

Jebel Ali collapse transforms Iran's logistical position",General News
PRESSTV,State,"ECONOMY

Black tide from US-Israeli aggression on Iran chokes Persian Gulf turtle nesting sanctuary",General News
PRESSTV,State,"CULTURE

Italian scholars warn world of US-Israeli cultural genocide in Iran",Security/IRGC
PRESSTV,State,"CULTURE

Organized savagery: Dissecting the pathological conduct of an Iranian diaspora fringe",General News
PRESSTV,State,"CULTURE

How 'Iran International' fanned flames of war but lost to Iranian people's wisdom, resilience",General News
PRESSTV,State,"CULTURE

Teachers' Day: Mandana Salari, 29, died embracing her students as missiles struck Minab school",General News
PRESSTV,State,"CULTURE

31 million and counting: 'Janfada' campaign unites resilient Iranian nation against enemy",General News
PRESSTV,State,"POLITICS

Iran football chief rejected Canadian PM’s phone call after insulting treatment",General News
PRESSTV,State,"SPORTS

Trump in no position to determine Iran presence in World Cup: Football chief",General News
PRESSTV,State,"SPORTS

Despite war at home, Iranian athletes win nine golds for best-ever Asian Beach Games finish",General News
